Song,Start,End,Duration,Lyric,Prediction,Lyric_clean,Prediction_clean,WER,CER,Words
ANiMAL - Clinic A,93.0,104.0,11.0,so even niece's chin is one track keep on willing is the was we do it cigars grab me nuts ey lady shake it bit sister pede ode seed kayde ade teed lips we take aim, So I've a music sheet It's my track it mingling Just the way we do,so even nieces chin is one track keep on willing is the was we do it cigars grab me nuts ey lady shake it bit sister pede ode seed kayde ade teed lips we take aim,so ive a music sheet its my track it mingling just the way we do,0.8888888888888888,0.7530864197530864,36
ANiMAL - Clinic A,104.0,112.0,8.0,and haters have to run away with their head in shame cause we're not afraid, And ages have to run away with their head and chain Cos we're not afraid,and haters have to run away with their head in shame cause were not afraid,and ages have to run away with their head and chain cos were not afraid,0.26666666666666666,0.14864864864864866,15
ANiMAL - Clinic A,112.0,120.0,8.0,and we've got hate grenades we are the renegades straight out of clinic a,,and weve got hate grenades we are the renegades straight out of clinic a,,1.0,1.0,14
ANiMAL - Clinic A,119.0,126.0,7.0,we will be heard cause we got the three voices we pick up long and it's gonna drop bombs hits stays a rocket, We will be here because we got the three voices we picked up long and it's gonna drop bombs hit state of racket,we will be heard cause we got the three voices we pick up long and its gonna drop bombs hits stays a rocket,we will be here because we got the three voices we picked up long and its gonna drop bombs hit state of racket,0.30434782608695654,0.11214953271028037,23
ANiMAL - Clinic A,126.0,131.0,5.0,i stack it we pre pack it and then i smash it some get sixty rhymes," I start here, we free packet and then I smash it Some get 60 points",i stack it we pre pack it and then i smash it some get sixty rhymes,i start here we free packet and then i smash it some get 60 points,0.4375,0.29850746268656714,16
ANiMAL - Clinic A,131.0,136.0,5.0,audio crime after audio crime dressing my chair and my classics the," Oh, yeah, crime, oh, yeah, crime Tracing mucha, and my curse",audio crime after audio crime dressing my chair and my classics the,oh yeah crime oh yeah crime tracing mucha and my curse,0.75,0.5074626865671642,12
ANiMAL - Clinic A,136.0,145.0,9.0,record ends and i sleep with static i'm the master in disguise making beats and rockingly wise we take the cate line wricky lake," Wake up, into the sheep we started I'm the master in their skies They're baking me to look at it For every day the cake lighten And it's late",record ends and i sleep with static im the master in disguise making beats and rockingly wise we take the cate line wricky lake,wake up into the sheep we started im the master in their skies theyre baking me to look at it for every day the cake lighten and its late,1.0,0.5905511811023622,24
ANiMAL - Clinic A,145.0,152.0,7.0,slap upon rhyme the original fakes i seek out blessings serly a bass i'm a parrot i take the piece and," It's a humble ride for your original face I see a cow-beats and a sea of the abacus I am a pirate, I take your face",slap upon rhyme the original fakes i seek out blessings serly a bass im a parrot i take the piece and,its a humble ride for your original face i see a cowbeats and a sea of the abacus i am a pirate i take your face,1.0,0.6237623762376238,21
ANiMAL - Clinic A,152.0,159.0,7.0,when i split well i start to laugh eight bit sounds this shit sounds hard we take aim,,when i split well i start to laugh eight bit sounds this shit sounds hard we take aim,,1.0,1.0,18
ANiMAL - Clinic A,159.0,165.0,6.0,and haters have to run away with their head in shame, And ages have to run away with their head in shame,and haters have to run away with their head in shame,and ages have to run away with their head in shame,0.09090909090909091,0.057692307692307696,11
ANiMAL - Clinic A,165.0,175.0,10.0,cause we're not afraid and we've got hate grenades we are the renegades straight out of clinic a,,cause were not afraid and weve got hate grenades we are the renegades straight out of clinic a,,1.0,1.0,18
ANiMAL - Clinic A,188.0,195.0,7.0,straight out of clinic a,,straight out of clinic a,,1.0,1.0,5
ANiMAL - Clinic A,205.0,213.0,8.0,we are the renegades straight out of clinic a,,we are the renegades straight out of clinic a,,1.0,1.0,9
ANiMAL - Clinic A,223.0,232.0,9.0,we are the renegades straight out of clinic a,,we are the renegades straight out of clinic a,,1.0,1.0,9
ANiMAL - Easy Tiger,6.0,13.0,7.0,and come and come,,and come and come,,1.0,1.0,4
ANiMAL - Easy Tiger,13.0,22.0,9.0,come and come,,come and come,,1.0,1.0,3
ANiMAL - Easy Tiger,22.0,27.0,5.0,easy tiger come sit by my rider and come, Easy tiger comes up on my rider,easy tiger come sit by my rider and come,easy tiger comes up on my rider,0.5555555555555556,0.375,9
ANiMAL - Easy Tiger,27.0,35.0,8.0,easy tiger come sit by my rider come easy tiger come sit by my rider come easy," Easy Tiger, Come Step on my rider Come! Easy Tiger, Come Step on my rider Come! Easy",easy tiger come sit by my rider come easy tiger come sit by my rider come easy,easy tiger come step on my rider come easy tiger come step on my rider come easy,0.23529411764705882,0.1282051282051282,17
ANiMAL - Easy Tiger,34.0,42.0,8.0,easy tiger come sit by my rider and come backstage passes to my funky show, Easy tiger comes in from my rider Black stage passes to my bunker show,easy tiger come sit by my rider and come backstage passes to my funky show,easy tiger comes in from my rider black stage passes to my bunker show,0.4666666666666667,0.28378378378378377,15
ANiMAL - Easy Tiger,41.0,49.0,8.0,pump other pockets on your stereo it's getting warm and hot in club come meet me down the road," Pump up the bucket on your fairy y'all It's getting warm and hot and covered, come with me down the road",pump other pockets on your stereo its getting warm and hot in club come meet me down the road,pump up the bucket on your fairy yall its getting warm and hot and covered come with me down the road,0.42105263157894735,0.3010752688172043,19
ANiMAL - Easy Tiger,49.0,53.0,4.0,we gave out the tickets but the people won't go no, We ain't about to take it under people on y'all,we gave out the tickets but the people wont go no,we aint about to take it under people on yall,0.8181818181818182,0.5102040816326531,11
ANiMAL - Easy Tiger,53.0,61.0,8.0,walking backstage trying to get it on i am standing bow tall five six i'm wrong put your feet behind the curtain make your self known one click and i think a smile then i am yours the hotel is," Walking back station, I'm here today I'm standing all the way to the top, I'm six so long Put your feet up, hang your clothes, make yourself known One click, get up, get started, I'm going",walking backstage trying to get it on i am standing bow tall five six im wrong put your feet behind the curtain make your self known one click and i think a smile then i am yours the hotel is,walking back station im here today im standing all the way to the top im six so long put your feet up hang your clothes make yourself known one click get up get started im going,0.85,0.5078534031413613,40
ANiMAL - Easy Tiger,60.0,67.0,7.0,yours the hotel is not far i check it down the road if you wanna lay back chick can make you moan and we can have a little chat about the way i'm hot you remind of sexy chick," The whole show is no fun, I'll check it down the road If you wanna lay back, check it make your mouth There'll be a never-little chat about the way I'm home You remind me, check it out",yours the hotel is not far i check it down the road if you wanna lay back chick can make you moan and we can have a little chat about the way im hot you remind of sexy chick,the whole show is no fun ill check it down the road if you wanna lay back check it make your mouth therell be a neverlittle chat about the way im home you remind me check it out,0.5128205128205128,0.31213872832369943,39
ANiMAL - Easy Tiger,67.0,74.0,7.0,is back in amsterdam chick come back with me like its no problem i let her take control i have so much to learn as we hit it in the baden now the chicks are gone," Back in Amsterdam, chicken come back with me like a snow bubble I let it take control of the monster learn As we hit them in the bar now they do it so gone",is back in amsterdam chick come back with me like its no problem i let her take control i have so much to learn as we hit it in the baden now the chicks are gone,back in amsterdam chicken come back with me like a snow bubble i let it take control of the monster learn as we hit them in the bar now they do it so gone,0.4722222222222222,0.2919254658385093,36
ANiMAL - Easy Tiger,74.0,84.0,10.0,hey lets go where did you get that time done said you're looking crisp in the morning sun while she gives me the number to her mobile phone we say goodbyes and what now she is home as we hitting on the road and heading for the next show but," Hey, let's go, what you get that value done? Said you look at pretty, crispy in the morning sun While she kissed with an upper toe on her phone It's like a pie to what now she's home As we're hanging on the road, any for the next show, but...",hey lets go where did you get that time done said youre looking crisp in the morning sun while she gives me the number to her mobile phone we say goodbyes and what now she is home as we hitting on the road and heading for the next show but,hey lets go what you get that value done said you look at pretty crispy in the morning sun while she kissed with an upper toe on her phone its like a pie to what now shes home as were hanging on the road any for the next show but,0.52,0.32217573221757323,50
ANiMAL - Easy Tiger,84.0,88.0,4.0,easy tiger come sit by my rider and come," Easy tiger, come simple, more rider",easy tiger come sit by my rider and come,easy tiger come simple more rider,0.5555555555555556,0.4,9
ANiMAL - Easy Tiger,88.0,99.0,11.0,easy tiger come sit by my rider come easy tiger come sit by my rider come easy tiger come sit by my rider and come," Easy Tiger, Come sip on my rider Come, Easy Tiger, Come sip on my rider Come, Easy Tiger, Come sip on my rider",easy tiger come sit by my rider come easy tiger come sit by my rider come easy tiger come sit by my rider and come,easy tiger come sip on my rider come easy tiger come sip on my rider come easy tiger come sip on my rider,0.32,0.15789473684210525,25
ANiMAL - Easy Tiger,98.0,102.0,4.0,and come backstage passes to my funky show," Come back, stage passes to my funky show",and come backstage passes to my funky show,come back stage passes to my funky show,0.375,0.11904761904761904,8
ANiMAL - Easy Tiger,102.0,110.0,8.0,pump other pockets on your stereo it's getting warm and hot in club come with me down the road, Pump up the pockets on your fairy-o It's taking warm and hot in club and coming We're down the road,pump other pockets on your stereo its getting warm and hot in club come with me down the road,pump up the pockets on your fairyo its taking warm and hot in club and coming were down the road,0.3684210526315789,0.25806451612903225,19
ANiMAL - Easy Tiger,110.0,114.0,4.0,we gave out the tickets but the people won't go no," We gave out the ticket, but the people won't go",we gave out the tickets but the people wont go no,we gave out the ticket but the people wont go,0.18181818181818182,0.08163265306122448,11
ANiMAL - Easy Tiger,114.0,119.0,5.0,go girl here is my backstage pass bring it back there let me tap that ass and address your class i'm ma move," Yo, here's my backstage pause Bring it back, never let me tap you down And I dress you awesome, I mean...",go girl here is my backstage pass bring it back there let me tap that ass and address your class im ma move,yo heres my backstage pause bring it back never let me tap you down and i dress you awesome i mean,0.6086956521739131,0.34579439252336447,23
ANiMAL - Easy Tiger,119.0,129.0,10.0,too fast i'm ma dress some room champagne and two glass so come on girl don't hold it down when we up in nigga town be screaming now you are with the after party like you dreamed about its time you and me act friendish now," Too fast the major sum room champagne and too glossos Come on, we all don't hold it down When we open the Italian bee, shoot me now You with the half the party, let me drill the bell This time you will be acting this down",too fast im ma dress some room champagne and two glass so come on girl dont hold it down when we up in nigga town be screaming now you are with the after party like you dreamed about its time you and me act friendish now,too fast the major sum room champagne and too glossos come on we all dont hold it down when we open the italian bee shoot me now you with the half the party let me drill the bell this time you will be acting this down,0.6304347826086957,0.38636363636363635,46
ANiMAL - Easy Tiger,129.0,134.0,5.0,and we can sit and drink obscene amounts i've got a tab at the bar let's clean them out and when we drunk enough," A wikis in Winkup, seen them out, so got a tab, but the ball is cleaner now, when we drunkin' up",and we can sit and drink obscene amounts ive got a tab at the bar lets clean them out and when we drunk enough,a wikis in winkup seen them out so got a tab but the ball is cleaner now when we drunkin up,0.75,0.45454545454545453,24
ANiMAL - Easy Tiger,134.0,145.0,11.0,then we bounce off to the hotel out for the counting when the morning come across the dust back on the road is the boring stuff but it can liven up if you roll with us you can sit upon my ride upon the tour bus she," Then we bounce, off to the hotel out for the counter When the morning comes, I cost a dust Back on the road, it's the boom and stuff But you can lie but not, if you're old with us You could sit on my ride up on the tour bus",then we bounce off to the hotel out for the counting when the morning come across the dust back on the road is the boring stuff but it can liven up if you roll with us you can sit upon my ride upon the tour bus she,then we bounce off to the hotel out for the counter when the morning comes i cost a dust back on the road its the boom and stuff but you can lie but not if youre old with us you could sit on my ride up on the tour bus,0.40425531914893614,0.20093457943925233,47
ANiMAL - Easy Tiger,170.0,175.0,5.0,i have dreams of her being obscene with me come, I have dreams of her being a scene with me,i have dreams of her being obscene with me come,i have dreams of her being a scene with me,0.3,0.14893617021276595,10
ANiMAL - Easy Tiger,175.0,182.0,7.0,she was the backstage queen she was the backstage queen she didn't know what she means to me she," She was blind to me, she was blind to me She was looking for what she knew She was blind to me",she was the backstage queen she was the backstage queen she didnt know what she means to me she,she was blind to me she was blind to me she was looking for what she knew she was blind to me,0.7368421052631579,0.6421052631578947,19
ANiMAL - Rockshow,11.0,16.0,5.0,heading for the rock stop at the front gate cause i'm banned from the rockshow, And you put the rock stop at the front gate Because I'm bad from the rock show,heading for the rock stop at the front gate cause im banned from the rockshow,and you put the rock stop at the front gate because im bad from the rock show,0.4666666666666667,0.2077922077922078,15
ANiMAL - Rockshow,16.0,21.0,5.0,ain't got time for the chrises at the renegade cause i am banned from the rockshow, He ain't got time for his graces and his wedding gain He comes on back from the wrong show,aint got time for the chrises at the renegade cause i am banned from the rockshow,he aint got time for his graces and his wedding gain he comes on back from the wrong show,0.8125,0.49382716049382713,16
ANiMAL - Rockshow,21.0,26.0,5.0,but who can be told guitars are instinct so when you're banned from the rockshow, But who could be told? Guitar's a mistake to when you're banned from the rock show,but who can be told guitars are instinct so when youre banned from the rockshow,but who could be told guitars a mistake to when youre banned from the rock show,0.4,0.17721518987341772,15
ANiMAL - Rockshow,26.0,32.0,6.0,so take your twelve strings to the antic shop somebody please please stop the rock," To take its well straight to the dancing show the song buddy, please, please start the rock",so take your twelve strings to the antic shop somebody please please stop the rock,to take its well straight to the dancing show the song buddy please please start the rock,0.6666666666666666,0.35365853658536583,15
ANiMAL - Rockshow,43.0,48.0,5.0,heading for the rock stop at the front gate because  i'm banned from the rockshow, Eddie brought the wrong stuff at the wrong game Chris I'm back from the wrong show,heading for the rock stop at the front gate because  im banned from the rockshow,eddie brought the wrong stuff at the wrong game chris im back from the wrong show,0.6666666666666666,0.425,15
ANiMAL - Rockshow,48.0,53.0,5.0,ain't got time for this grizzlies at this renegade cause i'm banned from the rockshow," Ain't got time for this reason, so I'm just ready to get it Cause I'm back from the roadside",aint got time for this grizzlies at this renegade cause im banned from the rockshow,aint got time for this reason so im just ready to get it cause im back from the roadside,0.6666666666666666,0.42168674698795183,15
ANiMAL - Rockshow,53.0,58.0,5.0,so take your power calls and get yourself home because  i am banned from the rockshow, To take your power goals and get you so far away Cause I'm back from the bar show,so take your power calls and get yourself home because  i am banned from the rockshow,to take your power goals and get you so far away cause im back from the bar show,0.6875,0.3058823529411765,16
ANiMAL - Rockshow,58.0,64.0,6.0,so take your twelve strings to the antic shop let somebody please please stop the rock," To take your toll streets to the attic shop The sun, the body, please, please stop the brawl",so take your twelve strings to the antic shop let somebody please please stop the rock,to take your toll streets to the attic shop the sun the body please please stop the brawl,0.5625,0.2558139534883721,16
ANiMAL - Rockshow,74.0,84.0,10.0,stop the rock  stop the rock  stop the rock stop the rock, Stop the road! Stop the road!,stop the rock  stop the rock  stop the rock stop the rock,stop the road stop the road,0.6666666666666666,0.5964912280701754,12
ANiMAL - Rockshow,124.0,128.0,4.0,based on fine i am looking tired cause i'm banned from the rock show, Face hard while I'm looking dry Cause I'm better from the raw show,based on fine i am looking tired cause im banned from the rock show,face hard while im looking dry cause im better from the raw show,0.5714285714285714,0.34328358208955223,14
ANiMAL - Rockshow,128.0,133.0,5.0,i couldn't get my groove to the radio cause i'm banned from the rock show, I can't get my gun to the radio cause I'm back from the bar show,i couldnt get my groove to the radio cause im banned from the rock show,i cant get my gun to the radio cause im back from the bar show,0.26666666666666666,0.23943661971830985,15
ANiMAL - Rockshow,133.0,138.0,5.0,a fader's flash row maxed to y cause i'm banned from the rockshow," The fact that it's blind from it, so why is it getting somebody from the right show?",a faders flash row maxed to y cause im banned from the rockshow,the fact that its blind from it so why is it getting somebody from the right show,1.1538461538461537,0.7777777777777778,13
ANiMAL - Rockshow,138.0,145.0,7.0,i spent too much time flying round the clock somebody please please stop the rock, Transform community please please dance,i spent too much time flying round the clock somebody please please stop the rock,transform community please please dance,0.8666666666666667,0.691358024691358,15
ANiMAL - Rockshow,145.0,151.0,6.0,wow ho,,wow ho,,1.0,1.0,2
Actions - Devil's Words,21.0,32.0,11.0,take a look around see the houses we built they are falling down around us," Take a look around, see how's the view They fully turn around",take a look around see the houses we built they are falling down around us,take a look around see hows the view they fully turn around,0.5333333333333333,0.36486486486486486,15
Actions - Devil's Words,32.0,38.0,6.0,the brace will slowly crack if we both soon show itself, The place was so dec Crew Keep growing playgrounds still,the brace will slowly crack if we both soon show itself,the place was so dec crew keep growing playgrounds still,0.9090909090909091,0.6727272727272727,11
Actions - Devil's Words,37.0,43.0,6.0,i wanna stuff i'm caving in stuff i'm falling down, I wanna stop from craving and stop from falling Yeah,i wanna stuff im caving in stuff im falling down,i wanna stop from craving and stop from falling yeah,0.7,0.3541666666666667,10
Actions - Devil's Words,43.0,47.0,4.0,we're falling down, We're fine,were falling down,were fine,0.6666666666666666,0.5294117647058824,3
Actions - Devil's Words,46.0,53.0,7.0,you are the one you make me feel like this, You are the one making me feel like it,you are the one you make me feel like this,you are the one making me feel like it,0.3,0.23809523809523808,10
Actions - Devil's Words,52.0,58.0,6.0,you are the one screaming you hypocrite," You are the one, sleep me again for free",you are the one screaming you hypocrite,you are the one sleep me again for free,0.7142857142857143,0.46153846153846156,7
Actions - Devil's Words,57.0,63.0,6.0,uh a missing puzzle piece come and fill me in, ...that's what you were so... and that's with me...,uh a missing puzzle piece come and fill me in,thats what you were so and thats with me,0.9,0.7333333333333333,10
Actions - Devil's Words,62.0,68.0,6.0,uh the devil's words has spoken to me, The jet no stars passed the увид줄,uh the devils words has spoken to me,the jet no stars passed the увид줄,0.875,0.6944444444444444,8
Actions - Devil's Words,67.0,72.0,5.0,the devil's words has spoken to me, Me jabos los tacos w aquí Tú me dé,the devils words has spoken to me,me jabos los tacos w aquí tú me dé,1.1428571428571428,0.696969696969697,7
Actions - Devil's Words,72.0,78.0,6.0,take your time i won't be long where the words are said to you," Take your time out, won't be long Will the world just say to you?",take your time i wont be long where the words are said to you,take your time out wont be long will the world just say to you,0.35714285714285715,0.2459016393442623,14
Actions - Devil's Words,77.0,82.0,5.0,i knew i was lying no but it would hurt to tell the truth, I knew I was like it or but it would hurt to tell the truth,i knew i was lying no but it would hurt to tell the truth,i knew i was like it or but it would hurt to tell the truth,0.21428571428571427,0.12280701754385964,14
Actions - Devil's Words,82.0,87.0,5.0,this broken fairytale pages ripped in two," It's broken very obsessed, pain meidänz beautiful",this broken fairytale pages ripped in two,its broken very obsessed pain meidänz beautiful,0.8571428571428571,0.7560975609756098,7
Actions - Devil's Words,87.0,93.0,6.0,i wanna stop from caving stuff from falling down," Still Recable Stopching StepPorful, Day",i wanna stop from caving stuff from falling down,still recable stopching stepporful day,1.0,0.7083333333333334,9
Actions - Devil's Words,92.0,97.0,5.0,we're falling down,あなたはありが,were falling down,あなたはありが,1.0,1.0,3
Actions - Devil's Words,97.0,103.0,6.0,we're falling down," Pull it, just...",were falling down,pull it just,1.0,0.8235294117647058,3
Actions - Devil's Words,103.0,109.0,6.0,you are the one you make me feel like this," You are the one, you make me feel like this",you are the one you make me feel like this,you are the one you make me feel like this,0.0,0.0,10
Actions - Devil's Words,108.0,113.0,5.0,you are the one screaming you hypocrite," You are the one, sweet beautiful baby",you are the one screaming you hypocrite,you are the one sweet beautiful baby,0.42857142857142855,0.5128205128205128,7
Actions - Devil's Words,112.0,118.0,6.0,uh missing puzzle piece come and fill me in," Or made you, Auto with so many sofas and things You're gonna feel me here",uh missing puzzle piece come and fill me in,or made you auto with so many sofas and things youre gonna feel me here,1.4444444444444444,1.186046511627907,9
Actions - Devil's Words,118.0,123.0,5.0,uh the devil's words has spoken to me, The devil's voice has stopped him so long ago,uh the devils words has spoken to me,the devils voice has stopped him so long ago,0.875,0.6666666666666666,8
Actions - Devil's Words,123.0,133.0,10.0,yeah yeah you are the one oh,,yeah yeah you are the one oh,,1.0,1.0,7
Actions - Devil's Words,132.0,143.0,11.0,yeah you are the one yeah oh hey," Oh, yeah Oh, yeah Oh, yeah",yeah you are the one yeah oh hey,oh yeah oh yeah oh yeah,0.75,0.5,8
Actions - Devil's Words,142.0,149.0,7.0,you are the one you make me feel like this," You are the one, you make me feel like this",you are the one you make me feel like this,you are the one you make me feel like this,0.0,0.0,10
Actions - Devil's Words,148.0,154.0,6.0,you are the one screaming you hypocrite, You're the one screaming hip-hop craze,you are the one screaming you hypocrite,youre the one screaming hiphop craze,0.5714285714285714,0.2564102564102564,7
Actions - Devil's Words,153.0,159.0,6.0,uh a missing puzzle piece come and fill me in," Missed puzzle hangs, come and fill me in",uh a missing puzzle piece come and fill me in,missed puzzle hangs come and fill me in,0.4,0.28888888888888886,10
Actions - Devil's Words,158.0,164.0,6.0,uh the devil's words has spoken to me, The devil's hearts have stuck in so many,uh the devils words has spoken to me,the devils hearts have stuck in so many,0.875,0.5,8
Actions - Devil's Words,163.0,169.0,6.0,you are the one you make me feel like this, You are the one you make me feel like it,you are the one you make me feel like this,you are the one you make me feel like it,0.1,0.07142857142857142,10
Actions - Devil's Words,168.0,174.0,6.0,you are the one screaming you hypocrite," You are the one, maybe you're the friend",you are the one screaming you hypocrite,you are the one maybe youre the friend,0.5714285714285714,0.46153846153846156,7
Actions - Devil's Words,173.0,179.0,6.0,uh a missing puzzle piece come and fill me in," I miss you, past your face, come and feel me",uh a missing puzzle piece come and fill me in,i miss you past your face come and feel me,0.8,0.5333333333333333,10
Actions - Devil's Words,179.0,184.0,5.0,uh the devil's words has spoken to me, The devil's不是techn Однако shall obey,uh the devils words has spoken to me,the devils不是techn однако shall obey,0.875,0.6944444444444444,8
Actions - Devil's Words,184.0,189.0,5.0,the devil's words has spoken to me, The devil's voice has spoken so many,the devils words has spoken to me,the devils voice has spoken so many,0.42857142857142855,0.24242424242424243,7
Actions - Devil's Words,189.0,196.0,7.0,the devil's words has spoken to me, Love the battle's towards revenge for the murder ofのは,the devils words has spoken to me,love the battles towards revenge for the murder ofのは,1.1428571428571428,1.0606060606060606,7
