Song,Split,Start,End,Duration,Words,Lyric,has_lyrics
Hezekiah Jones - Borrowed Heart,Train,65.0,76.0,11.0,19,me you say oh what if she loves you she might be thinking of you wants you around anyway,True
Hezekiah Jones - Borrowed Heart,Train,77.0,86.0,9.0,8,wants you around anyway wants you around anyway,True
Hezekiah Jones - Borrowed Heart,Train,88.0,97.0,9.0,2,oh oh,True
Hezekiah Jones - Borrowed Heart,Train,97.0,102.0,5.0,2,oh oh,True
Hezekiah Jones - Borrowed Heart,Train,102.0,110.0,8.0,4,oh oh oh oh,True
Hezekiah Jones - Borrowed Heart,Train,110.0,119.0,9.0,5,oh oh oh oh oh,True
Hezekiah Jones - Borrowed Heart,Train,119.0,124.0,5.0,2,oh oh,True
Hezekiah Jones - Borrowed Heart,Train,124.0,135.0,11.0,4,oh oh oh oh,True
Hezekiah Jones - Borrowed Heart,Train,135.0,143.0,8.0,1,-,False
Hezekiah Jones - Borrowed Heart,Train,143.0,149.0,6.0,1,-,False
Hezekiah Jones - Borrowed Heart,Train,149.0,156.0,7.0,1,-,False
Hezekiah Jones - Borrowed Heart,Train,156.0,166.0,10.0,1,-,False
Hezekiah Jones - Borrowed Heart,Train,165.0,172.0,7.0,1,-,False
Hezekiah Jones - Borrowed Heart,Train,172.0,177.0,5.0,11,wake her up just to dig into her chest keep her,True
Hezekiah Jones - Borrowed Heart,Train,176.0,181.0,5.0,11,keep her from the dirt with another's heart inside her breast,True
Hezekiah Jones - Borrowed Heart,Train,181.0,186.0,5.0,14,and if love ain't born inside that heart would i give up on the,True
Hezekiah Jones - Borrowed Heart,Train,186.0,191.0,5.0,10,character keep up with the part and i say oh,True
Hezekiah Jones - Borrowed Heart,Train,191.0,198.0,7.0,16,what if she hates me she might think i'm crazy she won't wanna be with me,True
Hezekiah Jones - Borrowed Heart,Train,197.0,205.0,8.0,14,me say oh what if she loves you she might be thinking of you,True
Hezekiah Jones - Borrowed Heart,Train,204.0,209.0,5.0,6,of you wants you around anyway,True
Hezekiah Jones - Borrowed Heart,Train,209.0,216.0,7.0,18,what if she hates me she might think i'm crazy she won't wanna be with me you say,True
Hezekiah Jones - Borrowed Heart,Train,215.0,223.0,8.0,13,you say oh what if she loves you been thinking of you wants,True
Hezekiah Jones - Borrowed Heart,Train,222.0,226.0,4.0,4,wants you around anyway,True
Hezekiah Jones - Borrowed Heart,Train,226.0,231.0,5.0,4,wants you around anyway,True
Hezekiah Jones - Borrowed Heart,Train,230.0,240.0,10.0,8,wants you around anyway wants you around anyway,True
Strand Of Oaks - Spacestation,Train,0.0,10.0,10.0,1,-,False
Strand Of Oaks - Spacestation,Train,10.0,15.0,5.0,1,-,False
Strand Of Oaks - Spacestation,Train,15.0,21.0,6.0,1,-,False
Strand Of Oaks - Spacestation,Train,21.0,30.0,9.0,6,welcome to my new space station,True
Strand Of Oaks - Spacestation,Train,32.0,42.0,10.0,10,stay as long as you like it's a sad vocation,True
Strand Of Oaks - Spacestation,Train,42.0,49.0,7.0,9,and you leave me standing alone on the earth,True
Strand Of Oaks - Spacestation,Train,49.0,55.0,6.0,7,i realize that it just won't work,True
Strand Of Oaks - Spacestation,Train,55.0,61.0,6.0,9,and you leave me standing alone in the cold,True
Strand Of Oaks - Spacestation,Train,61.0,66.0,5.0,7,telling everybody that i just don't know,True
Strand Of Oaks - Spacestation,Train,66.0,70.0,4.0,6,and you wait just a little,True
Strand Of Oaks - Spacestation,Train,70.0,78.0,8.0,11,wait just a little you wait just a little too long,True
Strand Of Oaks - Spacestation,Train,78.0,89.0,11.0,17,and you wait just a little wait just a little you wait just a little too long,True
Strand Of Oaks - Spacestation,Train,89.0,93.0,4.0,1,-,False
Strand Of Oaks - Spacestation,Train,93.0,98.0,5.0,1,-,False
Strand Of Oaks - Spacestation,Train,98.0,104.0,6.0,1,-,False
Strand Of Oaks - Spacestation,Train,104.0,114.0,10.0,1,-,False
Strand Of Oaks - Spacestation,Train,114.0,120.0,6.0,8,why you gonna leave me stranded up here,True
Strand Of Oaks - Spacestation,Train,120.0,126.0,6.0,8,why you gonna leave me stranded up here,True
Strand Of Oaks - Spacestation,Train,126.0,137.0,11.0,13,why you gonna leave me stranded up here when the sunlight chased away,True
Strand Of Oaks - Spacestation,Train,137.0,142.0,5.0,5,when the sunlight chased away,True
Strand Of Oaks - Spacestation,Train,142.0,150.0,8.0,5,when the sunlight chased away,True
Strand Of Oaks - Spacestation,Train,150.0,156.0,6.0,1,-,False
Strand Of Oaks - Spacestation,Train,156.0,163.0,7.0,1,-,False
Strand Of Oaks - Spacestation,Train,163.0,173.0,10.0,1,-,False
Strand Of Oaks - Spacestation,Train,173.0,183.0,10.0,6,welcome to my next big decision,True
Strand Of Oaks - Spacestation,Train,185.0,194.0,9.0,6,welcome to my next big decision,True
Strand Of Oaks - Spacestation,Train,195.0,201.0,6.0,4,welcome to my next,True
Strand Of Oaks - Spacestation,Train,201.0,205.0,4.0,2,big decision,True
Leaf - Wicked,Train,0.0,10.0,10.0,1,-,False
Leaf - Wicked,Train,10.0,17.0,7.0,1,-,False
Leaf - Wicked,Train,29.0,34.0,5.0,1,-,False
Leaf - Wicked,Train,40.0,44.0,4.0,1,-,False
Leaf - Wicked,Train,64.0,68.0,4.0,7,i think she's wicked but she knows,True
Leaf - Wicked,Train,68.0,72.0,4.0,7,i think she's wicked but she knows,True
Leaf - Wicked,Train,72.0,81.0,9.0,14,i think she's wicked but she knows i think she's wicked but she knows,True
Leaf - Wicked,Train,81.0,87.0,6.0,1,-,False
Leaf - Wicked,Train,107.0,112.0,5.0,7,i think she's wicked but she knows,True
Leaf - Wicked,Train,111.0,115.0,4.0,7,i think she's wicket but she knows,True
Leaf - Wicked,Train,115.0,122.0,7.0,13,i think she's wicked but she knows i thinks she's wicked but she,True
Leaf - Wicked,Train,123.0,127.0,4.0,7,i think she's wicked but she knows,True
Leaf - Wicked,Train,127.0,134.0,7.0,13,i think she's wicked but she knows i think she's wicked but she,True
Leaf - Wicked,Train,134.0,140.0,6.0,8,knows i think she's wicket bit she knew,True
Leaf - Wicked,Train,140.0,145.0,5.0,1,-,False
Leaf - Wicked,Train,150.0,158.0,8.0,14,i think she's wicked but she knows i thinks she's wicked but she knows,True
Leaf - Wicked,Train,159.0,169.0,10.0,18,i think she's wicked but she knows i think she's wicked but she knows i think she's wicket,True
Leaf - Wicked,Train,169.0,174.0,5.0,6,new i think she's wicket new,True
Leaf - Wicked,Train,174.0,182.0,8.0,9,i think she's wicked new i think she's wicked,True
Aimee Norwich - Child,Train,0.0,10.0,10.0,1,-,False
Aimee Norwich - Child,Train,10.0,20.0,10.0,1,-,False
Aimee Norwich - Child,Train,20.0,25.0,5.0,1,-,False
Aimee Norwich - Child,Train,24.0,33.0,9.0,5,when i was a child,True
Aimee Norwich - Child,Train,33.0,42.0,9.0,17,the wind blew my name through the trees the sun painted portraits of me in the sky,True
Aimee Norwich - Child,Train,42.0,50.0,8.0,12,when i was a child the animals they smiled at me the,True
Aimee Norwich - Child,Train,49.0,56.0,7.0,12,me the dazes held my secrets and dreams in a line when,True
Aimee Norwich - Child,Train,55.0,59.0,4.0,5,when i was a child,True
Aimee Norwich - Child,Train,59.0,68.0,9.0,18,i'd say i love you for no good reason i embrace the scenes of the changing seasons alright,True
Aimee Norwich - Child,Train,68.0,76.0,8.0,14,right when i was a child i saw the good in you and me,True
Aimee Norwich - Child,Train,76.0,82.0,6.0,8,very simple how it's supposed to be ah,True
Aimee Norwich - Child,Train,82.0,89.0,7.0,11,when i was a child the never was a perfect way,True
Aimee Norwich - Child,Train,89.0,95.0,6.0,10,there was only living day to day or to hour,True
Aimee Norwich - Child,Train,95.0,103.0,8.0,11,when i was a child everything was clear to me how,True
Aimee Norwich - Child,Train,102.0,109.0,7.0,14,me how i wanted to live how i wanted to be alive alive when,True
Aimee Norwich - Child,Train,108.0,116.0,8.0,13,when i was a child the sea it's how you let me know,True
Aimee Norwich - Child,Train,116.0,124.0,8.0,9,watched it change and we let it go ah,True
Aimee Norwich - Child,Train,124.0,135.0,11.0,1,ah,True
Aimee Norwich - Child,Train,135.0,145.0,10.0,1,-,False
Aimee Norwich - Child,Train,145.0,155.0,10.0,1,-,False
Aimee Norwich - Child,Train,155.0,162.0,7.0,1,-,False
Aimee Norwich - Child,Train,162.0,171.0,9.0,1,-,False
Aimee Norwich - Child,Train,171.0,178.0,7.0,1,-,False
Aimee Norwich - Child,Train,178.0,188.0,10.0,1,-,False
Meaxic - You Listen,Train,0.0,10.0,10.0,1,-,False
Meaxic - You Listen,Train,10.0,15.0,5.0,1,-,False
Meaxic - You Listen,Train,15.0,21.0,6.0,1,-,False
Meaxic - You Listen,Train,21.0,28.0,7.0,1,-,False
Meaxic - You Listen,Train,28.0,36.0,8.0,1,-,False
Meaxic - You Listen,Train,36.0,44.0,8.0,10,how do you never hear me but break my fall,True
Meaxic - You Listen,Train,44.0,50.0,6.0,8,despite all the signs that stay in me,True
Meaxic - You Listen,Train,50.0,54.0,4.0,2,you absolve,True
Meaxic - You Listen,Train,54.0,60.0,6.0,8,you don't even know me what i'm about,True
Meaxic - You Listen,Train,60.0,65.0,5.0,6,but you treat me with purity,True
Meaxic - You Listen,Train,64.0,74.0,10.0,6,with no insecurity your truth reveals,True
Meaxic - You Listen,Train,75.0,82.0,7.0,1,-,False
Meaxic - You Listen,Train,82.0,90.0,8.0,4,why do you accept,True
Meaxic - You Listen,Train,90.0,100.0,10.0,5,while so many others reject,True
Meaxic - You Listen,Train,100.0,107.0,7.0,7,or do you just yield to anyone,True
Meaxic - You Listen,Train,107.0,113.0,6.0,1,-,False
Meaxic - You Listen,Train,113.0,118.0,5.0,1,-,False
Meaxic - You Listen,Train,123.0,132.0,9.0,9,i try to derive the meaning of your insights,True
Meaxic - You Listen,Train,132.0,140.0,8.0,8,but nothing denies the feeling that you agnize,True
Meaxic - You Listen,Train,140.0,150.0,10.0,7,melody flows so easily and perfectly explains,True
Meaxic - You Listen,Train,150.0,158.0,8.0,8,the fire you lit inside my soul but,True
Meaxic - You Listen,Train,157.0,163.0,6.0,7,but you never know you never know,True
Meaxic - You Listen,Train,163.0,173.0,10.0,5,you never know know know,True
Meaxic - You Listen,Train,173.0,180.0,7.0,1,-,False
Meaxic - You Listen,Train,180.0,190.0,10.0,1,-,False
Meaxic - You Listen,Train,190.0,196.0,6.0,1,-,False
Meaxic - You Listen,Train,196.0,203.0,7.0,1,-,False
Meaxic - You Listen,Train,203.0,210.0,7.0,1,-,False
Meaxic - You Listen,Train,210.0,216.0,6.0,6,guess you never know the strength,True
Meaxic - You Listen,Train,216.0,224.0,8.0,8,never know the insanity you'll never know the,True
Meaxic - You Listen,Train,223.0,228.0,5.0,4,the wonder you define,True
Meaxic - You Listen,Train,230.0,237.0,7.0,9,guess you never know the way you save me,True
Meaxic - You Listen,Train,237.0,241.0,4.0,5,maybe another time another place,True
Meaxic - You Listen,Train,241.0,246.0,5.0,8,and the words will all can only do,True
Meaxic - You Listen,Train,246.0,257.0,11.0,2,so much,True
Meaxic - You Listen,Train,256.0,261.0,5.0,2,you listen,True
Meaxic - You Listen,Train,261.0,267.0,6.0,1,-,False
Meaxic - You Listen,Train,267.0,274.0,7.0,1,-,False
Meaxic - You Listen,Train,274.0,282.0,8.0,1,-,False
Meaxic - You Listen,Train,282.0,289.0,7.0,1,-,False
Meaxic - You Listen,Train,289.0,298.0,9.0,1,-,False
Meaxic - You Listen,Train,298.0,305.0,7.0,15,maybe in another time our energies will intertwine and you feel every single note i,True
Meaxic - You Listen,Train,320.0,325.0,5.0,1,-,False
Meaxic - You Listen,Train,325.0,336.0,11.0,1,-,False
Meaxic - You Listen,Train,336.0,343.0,7.0,1,-,False
Meaxic - You Listen,Train,343.0,351.0,8.0,1,-,False
Meaxic - You Listen,Train,360.0,370.0,10.0,1,-,False
Meaxic - You Listen,Train,370.0,375.0,5.0,1,-,False
Meaxic - You Listen,Train,375.0,381.0,6.0,1,-,False
Meaxic - You Listen,Train,381.0,388.0,7.0,1,-,False
Meaxic - You Listen,Train,388.0,396.0,8.0,1,-,False
Meaxic - You Listen,Train,396.0,400.0,4.0,1,-,False
Meaxic - You Listen,Train,400.0,408.0,8.0,1,-,False
Snowmine - Curfews,Train,0.0,10.0,10.0,1,-,False
Snowmine - Curfews,Train,10.0,17.0,7.0,1,-,False
Snowmine - Curfews,Train,17.0,26.0,9.0,1,-,False
Snowmine - Curfews,Train,26.0,31.0,5.0,10,i might not earn it but it's what i deserve,True
Snowmine - Curfews,Train,31.0,36.0,5.0,6,i married hours into dusty papers,True
Snowmine - Curfews,Train,36.0,43.0,7.0,9,my friends in ink defend the way i think,True
Snowmine - Curfews,Train,43.0,47.0,4.0,1,-,False
Snowmine - Curfews,Train,47.0,52.0,5.0,8,you civil servant i'm not civil to serve,True
Snowmine - Curfews,Train,52.0,63.0,11.0,18,my rival head is out but i'm the loser keep on screaming till you say what you think,True
Snowmine - Curfews,Train,65.0,74.0,9.0,11,close your lips stop when you're ahead cause i've heard your,True
Snowmine - Curfews,Train,74.0,80.0,6.0,11,stories i have heard them all and there's no no need,True
Snowmine - Curfews,Train,80.0,89.0,9.0,14,no need for excuses when i've heard your stories i have heard them all,True
Snowmine - Curfews,Train,92.0,98.0,6.0,1,-,False
Snowmine - Curfews,Train,98.0,107.0,9.0,1,-,False
Snowmine - Curfews,Train,107.0,114.0,7.0,8,you lust for anywhere that's not your home,True
Snowmine - Curfews,Train,114.0,118.0,4.0,10,it's been a while since you left from the throne,True
Snowmine - Curfews,Train,118.0,126.0,8.0,7,i hear something this street is quivering,True
Snowmine - Curfews,Train,128.0,134.0,6.0,8,it sound like bodies learning bodies for sure,True
Snowmine - Curfews,Train,134.0,139.0,5.0,9,it sounds like us back in the basement after,True
Snowmine - Curfews,Train,139.0,146.0,7.0,7,the liquid loving judgement and the troubles,True
Snowmine - Curfews,Train,149.0,159.0,10.0,16,close your lips stop when you're ahead cause i've heard your stories i have heard them,True
Snowmine - Curfews,Train,159.0,168.0,9.0,17,all and there's no no need no need for excuses when i've heard your stories i have,True
Snowmine - Curfews,Train,168.0,178.0,10.0,13,heard them all wait you say you've lost yourself you wanna know why,True
Snowmine - Curfews,Train,178.0,186.0,8.0,5,cause you don't know anything,True
Snowmine - Curfews,Train,191.0,196.0,5.0,4,you don't know anything,True
Snowmine - Curfews,Train,202.0,211.0,9.0,1,-,False
Snowmine - Curfews,Train,211.0,220.0,9.0,4,uh ah ah ah,True
Snowmine - Curfews,Train,221.0,230.0,9.0,10,wait you say you've lost yourself you wanna know why,True
Snowmine - Curfews,Train,230.0,237.0,7.0,5,cause you don't know anything,True
Snowmine - Curfews,Train,237.0,242.0,5.0,4,you don't need anything,True
Snowmine - Curfews,Train,242.0,253.0,11.0,8,you don't know anything you don't need anything,True
Snowmine - Curfews,Train,253.0,260.0,7.0,1,-,False
ANiMAL - Clinic A,Train,0.0,9.0,9.0,1,-,False
ANiMAL - Clinic A,Train,9.0,20.0,11.0,36,ah welcome to the gates of dante's inferno a hate lasing wait for old time eternal demons with skim endings not forgiven across their pessimism with a verse of exorcism see the souls of the righteous,True
ANiMAL - Clinic A,Train,20.0,26.0,6.0,24,march with preciseness a part is enlightened cause fear's for the frightened if my team you be liking if you we be fighting known,True
ANiMAL - Clinic A,Train,26.0,35.0,9.0,34,to be striking like the force of the vikings as i step from the darkness one split blasting one hand carrying hates head in a basket my eyes half darkened by darth vader glasses,True
ANiMAL - Clinic A,Train,35.0,42.0,7.0,29,who ever ask it tell them it's de maquis i maintain my godless take aim the fathers and all this is done in the name of the fore fathers,True
ANiMAL - Clinic A,Train,42.0,49.0,7.0,20,i made a promise to push the papers margins i march like the spartans with today's artists we take aim,True
ANiMAL - Clinic A,Train,49.0,57.0,8.0,15,and haters have to run away with their head in shame cause we're not afraid,True
ANiMAL - Clinic A,Train,57.0,67.0,10.0,26,and we've got hate grenades we are the renegades straight out of clinic a i got my nine inch free for i'm a nice inch speaker,True
ANiMAL - Clinic A,Train,67.0,74.0,7.0,28,my nine in speaker my nine inch speaker my nine grants a path for my friends to get sweeter my friends to get sweeter my friends to get,True
ANiMAL - Clinic A,Train,74.0,82.0,8.0,24,ho jurassic like old school you see me as a cave man grinding on boats cause we've built this city on rock and roll,True
ANiMAL - Clinic A,Train,82.0,93.0,11.0,48,the parkers would travel the four corners of the world just to reach her for nonish now is the case one is a teacher to jump fit states in station her pockets getting paid having bent her on the bus and while the group was getting laid but,True
ANiMAL - Clinic A,Train,93.0,104.0,11.0,36,so even niece's chin is one track keep on willing is the was we do it cigars grab me nuts ey lady shake it bit sister pede ode seed kayde ade teed lips we take aim,True
ANiMAL - Clinic A,Train,104.0,112.0,8.0,15,and haters have to run away with their head in shame cause we're not afraid,True
ANiMAL - Clinic A,Train,112.0,120.0,8.0,14,and we've got hate grenades we are the renegades straight out of clinic a,True
ANiMAL - Clinic A,Train,119.0,126.0,7.0,23,we will be heard cause we got the three voices we pick up long and it's gonna drop bombs hits stays a rocket,True
ANiMAL - Clinic A,Train,126.0,131.0,5.0,16,i stack it we pre pack it and then i smash it some get sixty rhymes,True
ANiMAL - Clinic A,Train,131.0,136.0,5.0,12,audio crime after audio crime dressing my chair and my classics the,True
ANiMAL - Clinic A,Train,136.0,145.0,9.0,24,record ends and i sleep with static i'm the master in disguise making beats and rockingly wise we take the cate line wricky lake,True
ANiMAL - Clinic A,Train,145.0,152.0,7.0,21,slap upon rhyme the original fakes i seek out blessings serly a bass i'm a parrot i take the piece and,True
ANiMAL - Clinic A,Train,152.0,159.0,7.0,18,when i split well i start to laugh eight bit sounds this shit sounds hard we take aim,True
ANiMAL - Clinic A,Train,159.0,165.0,6.0,11,and haters have to run away with their head in shame,True
ANiMAL - Clinic A,Train,165.0,175.0,10.0,18,cause we're not afraid and we've got hate grenades we are the renegades straight out of clinic a,True
ANiMAL - Clinic A,Train,175.0,181.0,6.0,1,-,False
ANiMAL - Clinic A,Train,181.0,188.0,7.0,1,-,False
ANiMAL - Clinic A,Train,188.0,195.0,7.0,5,straight out of clinic a,True
ANiMAL - Clinic A,Train,195.0,205.0,10.0,1,-,False
ANiMAL - Clinic A,Train,205.0,213.0,8.0,9,we are the renegades straight out of clinic a,True
ANiMAL - Clinic A,Train,213.0,217.0,4.0,1,-,False
ANiMAL - Clinic A,Train,217.0,223.0,6.0,1,-,False
ANiMAL - Clinic A,Train,223.0,232.0,9.0,9,we are the renegades straight out of clinic a,True
ANiMAL - Clinic A,Train,232.0,237.0,5.0,1,-,False
Dark Ride - Burning Bridges,Train,0.0,7.0,7.0,1,-,False
Dark Ride - Burning Bridges,Train,7.0,15.0,8.0,1,-,False
Dark Ride - Burning Bridges,Train,15.0,26.0,11.0,14,mh never more will i fall for anything but the good inside of me,True
Dark Ride - Burning Bridges,Train,26.0,36.0,10.0,9,i won't beg i won't crawl time after time,True
Dark Ride - Burning Bridges,Train,36.0,46.0,10.0,11,burning bridges fire in my soul burning bridges forget about control,True
Dark Ride - Burning Bridges,Train,46.0,57.0,11.0,15,burn those witches i am the only one to burn the bridges i relied upon,True
Dark Ride - Burning Bridges,Train,57.0,63.0,6.0,1,-,False
Dark Ride - Burning Bridges,Train,63.0,74.0,11.0,17,oh no more strain no more pain i recall it was the should i could not see,True
Dark Ride - Burning Bridges,Train,74.0,84.0,10.0,8,yesterday so far away will face my today,True
Dark Ride - Burning Bridges,Train,84.0,89.0,5.0,10,i must confess there's something wrong with nine to five,True
Dark Ride - Burning Bridges,Train,89.0,97.0,8.0,19,i'm aching deep inside my heart i can't get up or go to bad this feeling's driving me insane,True
Dark Ride - Burning Bridges,Train,96.0,104.0,8.0,22,just like a needle to the brain oh god what happened on the way i'm in a trap led far astray i,True
Dark Ride - Burning Bridges,Train,103.0,110.0,7.0,4,i am not me,True
Dark Ride - Burning Bridges,Train,110.0,120.0,10.0,11,burning bridges fire in my soul burning bridges forget about control,True
Dark Ride - Burning Bridges,Train,120.0,127.0,7.0,8,burn those witches i am the only one,True
Dark Ride - Burning Bridges,Train,127.0,132.0,5.0,6,burn the bridges i relied upon,True
Dark Ride - Burning Bridges,Train,132.0,139.0,7.0,1,-,False
Dark Ride - Burning Bridges,Train,139.0,149.0,10.0,13,you think you know me you think you got everything under control no,True
Dark Ride - Burning Bridges,Train,149.0,155.0,6.0,1,-,False
Dark Ride - Burning Bridges,Train,155.0,162.0,7.0,1,-,False
Dark Ride - Burning Bridges,Train,162.0,167.0,5.0,1,-,False
Dark Ride - Burning Bridges,Train,167.0,173.0,6.0,1,oh,True
Dark Ride - Burning Bridges,Train,173.0,182.0,9.0,2,oh oh,True
Dark Ride - Burning Bridges,Train,182.0,193.0,11.0,11,oh and now i'm burning bridges fire in my soul burning,True
Dark Ride - Burning Bridges,Train,192.0,197.0,5.0,5,burning bridges forget about control,True
Dark Ride - Burning Bridges,Train,197.0,205.0,8.0,12,burn those witches i am the only one to burn the bridges,True
Dark Ride - Burning Bridges,Train,205.0,216.0,11.0,3,i relied upon,True
Dark Ride - Burning Bridges,Train,216.0,226.0,10.0,6,burning bridges burn those witches oh,True
Dark Ride - Burning Bridges,Train,226.0,232.0,6.0,1,-,False
Atlantis Bound - It Was My Fault For Waiting,Train,0.0,9.0,9.0,1,-,False
Atlantis Bound - It Was My Fault For Waiting,Train,9.0,15.0,6.0,1,-,False
Atlantis Bound - It Was My Fault For Waiting,Train,15.0,22.0,7.0,1,uh,True
Atlantis Bound - It Was My Fault For Waiting,Train,22.0,27.0,5.0,1,ah,True
Atlantis Bound - It Was My Fault For Waiting,Train,27.0,33.0,6.0,1,uh,True
Atlantis Bound - It Was My Fault For Waiting,Train,33.0,40.0,7.0,1,ah,True
Atlantis Bound - It Was My Fault For Waiting,Train,40.0,47.0,7.0,11,i tried to make everything that i see what i believe,True
Atlantis Bound - It Was My Fault For Waiting,Train,47.0,52.0,5.0,11,but you always let me down in the end and the,True
Atlantis Bound - It Was My Fault For Waiting,Train,51.0,58.0,7.0,13,and the more that i expected of you the more our distance grew,True
Atlantis Bound - It Was My Fault For Waiting,Train,58.0,63.0,5.0,7,and in the end you're never there,True
Atlantis Bound - It Was My Fault For Waiting,Train,63.0,73.0,10.0,12,and i know you couldn't tell the truth to save your soul,True
Atlantis Bound - It Was My Fault For Waiting,Train,73.0,80.0,7.0,9,and i know you will lead to my demise,True
Atlantis Bound - It Was My Fault For Waiting,Train,80.0,86.0,6.0,12,but i just ignore all the signs and i'm not gonna wait,True
Atlantis Bound - It Was My Fault For Waiting,Train,85.0,92.0,7.0,3,for another heartbreak,True
Atlantis Bound - It Was My Fault For Waiting,Train,92.0,98.0,6.0,1,uh,True
Atlantis Bound - It Was My Fault For Waiting,Train,98.0,104.0,6.0,1,ah,True
Atlantis Bound - It Was My Fault For Waiting,Train,104.0,109.0,5.0,1,uh,True
Atlantis Bound - It Was My Fault For Waiting,Train,109.0,116.0,7.0,1,ah,True
Atlantis Bound - It Was My Fault For Waiting,Train,116.0,123.0,7.0,15,is there an end to all the lies i'm so tired of closing my eyes,True
Atlantis Bound - It Was My Fault For Waiting,Train,123.0,128.0,5.0,9,to pretend that i can't see the truth i,True
Atlantis Bound - It Was My Fault For Waiting,Train,127.0,134.0,7.0,15,i'm afraid that if i open up i think the worst the worst comes out,True
Atlantis Bound - It Was My Fault For Waiting,Train,134.0,141.0,7.0,8,so it's better off that i'm leaving you,True
Atlantis Bound - It Was My Fault For Waiting,Train,141.0,149.0,8.0,9,and i know you couldn't tell the truth to,True
Atlantis Bound - It Was My Fault For Waiting,Train,149.0,153.0,4.0,3,save your soul,True
Atlantis Bound - It Was My Fault For Waiting,Train,152.0,162.0,10.0,16,and i know you will lead to my demise but i just ignore all the signs,True
Atlantis Bound - It Was My Fault For Waiting,Train,162.0,166.0,4.0,6,and i'm not gonna wait for,True
Atlantis Bound - It Was My Fault For Waiting,Train,166.0,175.0,9.0,3,another heart break,True
Atlantis Bound - It Was My Fault For Waiting,Train,175.0,183.0,8.0,1,-,False
Atlantis Bound - It Was My Fault For Waiting,Train,183.0,190.0,7.0,1,-,False
